patent no;patent title;chemical type 1
US2007077289;CREAM CONTAINING INTERFERON ENCAPSULATED WITH LIPOSOME;Vitamin E
US5520991;Cosmetic preparations for revitalizing the skin;Vitamin E
US2009233889;STABILIZED 1,25-DIHYDROXYVITAMIN D2 AND METHOD OF MAKING SAME;Vitamin E
US2010291206;ORAL DOSAGE FORM;Vitamin E
US2009074860;NUTRITIONAL BEVERAGE WITH SKIN IMPROVEMENT AIDS;Vitamin E
US2015164816;FORTIFIED MICRONUTRIENT SALT FORMULATIONS;Vitamin E
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Vitamin E
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Vitamin E
US6426080;COSMETIC PREPARATION OF ACTIVE SUBSTANCES WITH HIGH PROTECTION FACTOR AGAINST FREE RADICALS;Vitamin E
US4681756;Prevention of N-nitroso compound formation in vivo;Vitamin E
US2218592;VITAMIN PREPARATION AND METHOD OF MAKING SAME;Vitamin E
US2005175653;COMPOSITION, PROCESS OF MAKING, USES THEREOF;Vitamin E
US2004047826;FRAGRANCE FORMULATION CONTAINING PEARLESCENT SILICONE OIL BEADS;Vitamin E
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin E
US2003188841;TISSUE PRODUCTS CONTAINING SOFTNESS;Vitamin E
US10155919;DELIVERY PARTICLE;Vitamin E
US2006188549;ANIMAL FEED COMPOSITIONS CAPABLE OF REDUCING THE INCIDENCE OF FESCUE TOXICOSIS IN MAMMALS;Vitamin E
US2002058088;COLOR STABLE IRON FORTIFIED COMPOSITIONS;Vitamin E
US5466547;Enteric coated papain-containing food supplement for controlling auto immune diseases;Vitamin E
US5806681;Article for scavenging oxygen from a container;Vitamin E
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Vitamin E
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin E
US2008014306;PRESERVING COMPOSITION AND PRODUCT FOR HARVESTING FRUITS AND VEGETABLES, AND METHOD FOR ITS USE;Vitamin E
US2011280960;THICK PINE NEEDLE EXTRACT COMPOSITION FOR CAPSULATION;Vitamin E
US2006018958;COENZYME Q10 FORMULATION AND PROCESS METHODOLOGY FOR SOFT GEL CAPSULES MANUFACTURING;Vitamin E
US2001023351;Skin abrasion system and method;Vitamin E
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Vitamin E
US2010316769;DIETARY SUPPLEMENTS CONTAINING PROBIOTICS;Vitamin E
US2014010870;PHARMACEUTICAL FORMULATION COMPRISING INOSITOL;Vitamin E
US2001051176;COMPOSITION COMPRISING A LIQUID ABSORBED ON A SUPPORT BASED ON PRECIPITATED SILICA;Vitamin E
US2011107524;DELIVERY PARTICLE;Vitamin E
US2010209497;FORMULATIONS FOR TREATING HUMAN AND ANIMAL DISEASES;Vitamin E
US2003180719;HUMAN CELLULAR PROTEIN GASTROINTESTINAL GLUTATHIONE PEROXIDASE AS TARGET FOR MEDICAL INTERVENTION AGAINST HEPATITIS C VIRUS INFECTIONS;Vitamin E
US2004214804;Combination of an aldosterone receptor antagonist and an anti-obesity agent;Vitamin E
US2009297569;ORAL HYGIENE TABLETS AND CAPSULES FOR DIRECT ORAL DELIVERY OF ACTIVE INGREDIENTS;Vitamin E
US2006013818;METHOD OF TREATING GRANULOMA ANNULARE OR SARCOID;Vitamin E
US5532002;GELATIN PHARMACEUTICAL FORMULATIONS;Vitamin E
US2009137523;COMPOSITIONS FOR EXTERNAL APPLICATION, CONTAINING ADENOSYL COBALAMIN FOR IMPROVEMENT OF SKIN DISEASES;Vitamin E
US2008057111;HERBAL COMPOSITION FOR FLU PREVENTION AND TREATMENT;Vitamin E
US2010260837;BIOAVAILABLE CAPSULE COMPOSITIONS OF AMORPHOUS ALPHA-(N-SULFONAMIDO)ACETAMIDE COMPOUND;Vitamin E
US2014141125;DAIRY PRODUCT CONTAINING FUNCTIONAL ALGINIC ACID BEADS, AND PREPARATION METHOD THEREOF;Vitamin E
US2005158396;ANTIOXIDATIVE PREPARATIONS;Vitamin E
US2011008308;Composition for hair, skin, nails;Vitamin E
US2003224090;SNACKS OF ORALLY SOLUBLE EDIBLE FILMS;Vitamin E
US6136859;Pharmaceutical formulation for treating liver disorders;Vitamin E
US10206421;STABILIZING COMPOSITION FOR BIOLOGICAL MATERIALS;Vitamin E
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Vitamin E
US5973224;DIETETICAL COMBINATION PREPARATIONS;Riboflavin
US2008057113;PHARMACEUTICAL ANTI-HERPETIC COMPOSITION, METHOD FOR PRODUCING A DOSAGE FORM BASED THEREON AND METHOD FOR THE USE THEREOF;Riboflavin
US2013101569;HAIR GROWTH STIMULANT;Riboflavin
US5759559;METHOD AND COMPOSITION FOR TREATING ACNE;Riboflavin
US2004191295;COMPOSITION AND METHOD FOR VIRAL INHIBITION;Riboflavin
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Riboflavin
US2017348430;MICELAR DELIVERY SYSTEM BASED ON ENZYME-RESPONSIVE AMPHIPHILIC PEG-DENDRON HYBRID;Riboflavin
US3833739;VITAMIN ENRICHED POTATO FLAKES;Riboflavin
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Riboflavin
US4486435;Spray-dried vitamin powders using hydrophobic silica;Riboflavin
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Riboflavin
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Riboflavin
US5126328;PROCESS FOR CROSSLINKING GELATIN;Riboflavin
US2007077308;CONTINUOUS MULTI-MICROENCAPSULATION PROCESS FOR IMPROVING THE STABILITY AND STORAGE LIFE OF BIOLOGICALLY ACTIVE INGREDIENTS;Riboflavin
US5002779;DRY STABLE CHOCOLATE BEVERAGE CONTAINING IRON AND VITAMIN C;Riboflavin
US2010203106;METHOD FOR ENCAPSULATING AMINO ACIDS, VITAMINS AND MEDICATIONS AND METHOD FOR INCREASING RUMEN BYPASS OF AMINO ACIDS, VITAMINS AND MEDICATIONS;Riboflavin
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Riboflavin
US2016038530;NUTRITIONAL SUPPLEMENT TO COMPLEMENT CANCER THERAPY;Riboflavin
US3663697;3 - METHYLQUINOXALINE - 2 - CARBOXAMIDE-1,4-DIOXIDES FOR THE CONTROL OF SALMONELLA CHOLERAESUIS INFECTIONS;Riboflavin
US3041289;METHOD OF MAKING WALLED CLUSTERS OF CAPSULES;Riboflavin
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Riboflavin
US2003148992;SUSTAINED RELEASE VITAMIN COMPOSITION;Riboflavin
US2008161318;NOVEL COMPOSITIONS AND USES THEREOF;Riboflavin
US3178444;Certain (5-nitro-2-thiazolyl)-urea compounds;Riboflavin
US3574826;HYDROPHILIC POLYMERS HAVING VITAMINS ABSORBED THEREIN;Riboflavin
US2018078598;DIETARY SUPPLEMENTS CONTAINING DEHYDRATED STRAWBERRY;Riboflavin
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Riboflavin
US3860733;MICROENCAPSULATED PRODUCT;Riboflavin
US5310555;ORAL NUTRITIONAL AND DIETARY COMPOSITION;Riboflavin
US2011250298;COMPOSITION TO HELP PROTECT A USER AGAINST LIVER DAMAGE FROM ALCOHOL CONSUMPTION;Riboflavin
US2008160084;NATURAL WATER-INSOLUBLE ENCAPSULATION COMPOSITIONS AND PROCESSES FOR PREPARING SAME;Riboflavin
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Riboflavin
US5972985;HISTIDINE CONTAINING NUTRICEUTICAL COMPOSITIONS;Riboflavin
US6020333;Compositions containing in particular, riboflavin, for the local prevention of diseases of the genital and rectal mucus membranes;Riboflavin
US2002004069;Discoloration-resistant vitamin composition;Riboflavin
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Riboflavin
US5770215;Multivitamin/vascular occlusion inhibiting composition;Riboflavin
US2011008308;Composition for hair, skin, nails;Riboflavin
US4992282;STABLE NUTRITIONAL VITAMIN AND MINERAL SUPPLEMENTED BEVERAGE;Riboflavin
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Riboflavin
US3160564;MULTI-VITAMIN COMPOSITION CONTAINING PANTOTHENAMIDE;Riboflavin
US3533958;PROCESS FOR MAKING MINUTE CAPSULES;Riboflavin
US2016279058;PROTEIN-BASED GEL DELIVERY SYSTEM;Riboflavin
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Riboflavin
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Vitamin B
US5973224;DIETETICAL COMBINATION PREPARATIONS;Vitamin B
US3080292;STABLE PLEASANT-TASTING VITAMIN B CONTAINING BEADLETS;Vitamin B
US2004047826;FRAGRANCE FORMULATION CONTAINING PEARLESCENT SILICONE OIL BEADS;Vitamin B
US5780039;ORALLY-INGESTIBLE NUTRITION COMPOSITIONS HAVING IMPROVED PALATABILITY;Vitamin B
US2003003116;SKIN CARE AGENT AND METHOD OF SKIN CARE;Vitamin B
US2002172721;VITAMIN FORMULATION FOR CARDIOVASCULAR HEALTH;Vitamin B
US2010291206;ORAL DOSAGE FORM;Vitamin B
US2015064244;KONJAC FORMULATION AND METHOD FOR PREPARING THE SAME;Vitamin B
US6468568;OLIGOSACCHARIDE ENCAPSULATED MINERAL AND VITAMIN INGREDIENTS;Vitamin B
US2016205969;SOLID DIETARY COMPOSITIONS FOR RUMINANTS AND METHODS OF MAKING AND USING THE SAME;Vitamin B
US2004213857;MULTI-VITAMIN AND MINERAL SUPPLEMENT FOR PREGNANT WOMEN;Vitamin B
US6451351;METHOD FOR PREPARING GEL WITH CALCIUM SALTS OF ORGANIC ACIDS;Vitamin B
US2937091;STABILIZED FAT-SOLUBLE VITAMIN AND METHOD OF MAKING SAME;Vitamin B
US6436453;PRODUCTION OF OIL ENCAPSULATED MINERALS AND VITAMINS IN A GLASSY MATRIX;Vitamin B
US2004009235;NANOMETER GRADE HYDROXYAPATITE COMPOSITION FOR REPLENISHING CALCIUM;Vitamin B
US2014356424;COMPOSITION FOR TREATMENT OR REDUCTION OF SYMPTOMS RELATED TO PREMENSTRUAL SYNDROME (PMS), PREMENSTRUAL DISPHORIC DISORDER (PMDD), PREMENOPAUSE, MENOPAUSE OR FEMALE HORMONAL DISORDERS, IN A PHARMACEUTICAL COMPOSITION CONTAINING SAID FORM, AND PROCESS FOR PRODUCING SAID PHARMACEUTICAL FORM AND USE OF SAID COMPOSITION;Vitamin B
US2018000743;MODIFIED ALGINATE HYDROGELS FOR THERAPEUTIC AGENTS, THEIR PREPARATION AND METHODS THEREOF;Vitamin B
US2013101569;HAIR GROWTH STIMULANT;Vitamin B
US3663697;3 - METHYLQUINOXALINE - 2 - CARBOXAMIDE-1,4-DIOXIDES FOR THE CONTROL OF SALMONELLA CHOLERAESUIS INFECTIONS;Vitamin B
US6365181;THIXATROPIC GELATIN CARRIER COMPOSITION;Vitamin B
US2006188607;ORAL COMPOSITIONS COMPRISING EDIBLE OILS AND VITAMINS AND/OR MINERALS AND METHODS FOR MAKING ORAL COMPOSITIONS;Vitamin B
US2014234406;NOVEL NANOPARTICULATE SUSPENSION FOR INCORPORATING FAT-SOLUBLE VITAMINS IN THE TREATMENT OF HAIR THINNING AND HAIR LOSS;Vitamin B
US2015044308;PHARMACEUTICAL COMPOSITION FOR TREATING URINARY INCONTINENCE AND ENURESIS;Vitamin B
US2005238638;DIETARY SUPPLEMENT THAT SERVES AS A CARBOHYDRATE BLOCKER AND HANGOVER REMEDY;Vitamin B
US2002146471;METHOD AND COMPOSITION FOR IMPROVING SEXUAL FITNESS;Vitamin B
US2018280333;FISH EGG EXTRACTS, OMEGA-3 LIPID-BASED COMPOSITIONS AND USES THEREOF;Vitamin B
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Vitamin B
US3786123;METHOD FOR STABILIZING AND PRESERVING NUTRIENTS AND PRODUCTS;Vitamin B
US2012231069;TARGETED NANOCARRIER SYSTEMS FOR DELIVERY OF ACTIVES ACROSS BIOLOGICAL MEMBRANES;Vitamin B
US2010209497;FORMULATIONS FOR TREATING HUMAN AND ANIMAL DISEASES;Vitamin B
US2010028459;NUTRITIONAL SUPPLEMENT COMPOSITION FOR TREATMENT OF OCULAR DISEASES;Lutein
US10016363;PRE-SPRAY EMULSIONS AND POWDERS CONTAINING NON-POLAR COMPOUNDS;Lutein
US2018193483;DRUG FORMULATION BASED ON PARTICULATES COMPRISING POLYSACCHARIDE-VITAMIN CONJUGATE;Lutein
US2008233182;ORGANIC COMPOUNDS;Lutein
US2008089941;FUCOIDAN COMPOSITIONS AND METHODS;Lutein
US2010159029;COMPOSITION AND NUTRITIONAL SUPPLEMENTS FOR IMPROVING OCULAR HEALTH AND REDUCING OCULAR INFLAMMATORY RESPONSE;Lutein
US6086910;FOOD SUPPLEMENTS;Lutein
US2001019724;CAROTENOID FORMULATIONS, COMPRISING A MIXTURE OF BETA-CAROTENE, LYCOPENE AND LUTEIN;Lutein
US2004116514;COMPOSITIONS FOR PREVENTING HUMAN CANCER AND METHOD OF PREVENTING HUMAN CANCER;Lutein
US10098849;ANTI-RADICAL AGENTS;Lutein
US2005214383;MULTI-VITAMIN AND MINERAL NUTRITIONAL SUPPLEMENTS;Lutein
US2001009926;MESOZEAXANTHIN FORMULATIONS FOR TREATMENT OF RETINAL DISORDERS;Lutein
US2006115555;NUTRITIONAL SUPPLEMENTS CONTAINING XANTHONE EXTRACTS;Lutein
US10212957;METHOD FOR PREPARING OIL-DISPERSIBLE CAROTENOID PREPARATION;Lutein
US2008160084;NATURAL WATER-INSOLUBLE ENCAPSULATION COMPOSITIONS AND PROCESSES FOR PREPARING SAME;Lutein
US2017056339;FORMULATION OF FAT-SOLUBLE VITAMIN;Lutein
US5976568;MODULAR SYSTEM OF DIETARY SUPPLEMENT COMPOSITIONS FOR OPTIMIZING HEALTH BENEFITS AND METHODS;Lutein
US2011008308;Composition for hair, skin, nails;Lutein
US2005249820;NUTRITIONAL SUPPLEMENT FOR THE TREATMENT AND PREVENTION OF MACULAR DEGENERATION;Lutein
US2015056297;NUTRACEUTICAL COMBINATION FOR PREVENTION AND TREATMENT OF TYPE 2 DIABETES;Lutein
US2011262553;COMPOSITIONS SUITABLE FOR TREATING CUTANEOUS SIGNS OF AGING;Lutein
